"DATE","TEAMNAME","USERCOUNT","SECONDSSPENT","QUANTITY","VOLUME","WEIGHT","PRICE"
"2018-10-01","DP1","68","2219573","1114343","3186.431827236","428098.8838","1903440.65"
"2018-10-01","DP2","77","3021922","906374","2849.2158196955","352917.4161","1987857.77"
"2018-10-01","DP3","16","549895","76612","308.533925519","40325.55","350288.14"
"2018-10-01","EXT2","1","86719","536438","1749.229978658","213126.6302","580622.76"
"2018-10-01","HP1","6","158618","198390","650.737800287","75852.6658","412954.56"
"2018-10-01","HP2","7","334738","48633","123.899456301","11172.3845","56044.3"
"2018-10-01","IP1","3","21238","113948","412.127646581","50619.379","210593.97"
"2018-10-01","IP2","2","19910","97108","341.072515883","33301.6706","190044.86"
"2018-10-02","DP3","15","613373","116397","391.806986742","53516.2369","474793.41"
"2018-10-02","EXT2","1","34135","800764","2175.0399916","269515.1756","732918.88"
"2018-10-02","DP1","65","2033761","1101814","3194.993774013","401192.3045","2308550.99"
"2018-10-02","DP2","75","2313343","1090417","2997.149819787","372291.6159","2736028.51"
"2018-10-02","IP2","2","9883","14869","47.059275352","5161.166","114040.98"
"2018-10-02","HP1","7","245150","164937","537.4136448675","67216.4572","488786.52"
"2018-10-02","IP1","1","15140","98416","209.607509398","27292.4215","94734.14"
"2018-10-02","HP2","8","355968","46051","117.109426925","9426.549","48572.98"
"2018-10-03","IP2","1","5155","146","2.292252","241.8","27205.83"
"2018-10-03","HP2","7","390303","42250","118.273498625","10382.23","50313.09"
"2018-10-03","IP1","2","12979","207567","417.565026939","46347.06","211636.36"
"2018-10-03","HP1","6","217862","134196","380.6315786255","50821.738","227925.65"
"2018-10-03","EXT2","1","95511","460551","1247.29979994","154613.5672","428728.32"
"2018-10-03","DP3","17","864040","147856","479.093065288","68254.7872","538635.22"
"2018-10-03","DP2","75","2508409","840016","2444.4746125895","306246.9343","2122948.24"
"2018-10-03","DP1","56","1911979","907965","2776.403184289","361799.2521","1690438.09"
"2018-10-04","DP3","15","541979","81070","241.6356259855","34952.802","277883.44"
"2018-10-04","DP2","73","2352314","958215","2648.831145363494","347767.869","1925977.49"
"2018-10-04","EXT2","1","97322","742030","1944.440441358996","248624.0712","633655.06"
"2018-10-04","DP1","60","1959302","952366","2879.0842594045","369786.592","1987300.66"
"2018-10-04","HP2","6","297039","38381","99.188120275","9683.485","35940.01"
"2018-10-04","IP1","3","30095","345786","743.763415106","78406.9794","294851.1"
"2018-10-04","HP1","5","174449","137379","448.385009323","46841.822","219566.31"
"2018-10-05","DP1","61","1881684","1049178","2741.520496866","351066.0078","1691339.39"
"2018-10-05","DP2","68","2149328","1051542","2467.0645757205","326346.623","1787157.01"
"2018-10-05","DP3","14","412880","56492","122.066212623","20904.2705","140689.76"
"2018-10-05","EXT2","1","83017","1028972","2782.73081119","345460.909","897307.5"
"2018-10-05","HP1","6","254570","202618","685.8565708195","80891.106","392572.08"
"2018-10-05","HP2","6","239365","38432","72.33474695","7083.594","30498.9"
"2018-10-05","IP1","2","21266","95991","257.9827458815","27417.917","97406.27"
"2018-10-06","EXT2","1","47374","163558","505.353326887","64808.86","173764.2"
"2018-10-06","DP1","9","218827","262713","545.19368279","52939.142","266848.11"
"2018-10-06","DP2","16","307954","288079","634.315696057","72929.9882","493073.03"
"2018-10-06","HP2","1","12356","32238","58.912555575","5282.247","15215.48"
"2018-10-06","IP1","1","10874","78276","176.056292966","23946.872","72538.91"
"2018-10-06","IP2","1","7774","32701","92.3825216665","13320.861","35530.84"
"2018-10-07","DP1","1","2647","44391","111.1519334385","14752.4401","76256.55"
"2018-10-07","DP2","1","1616","44402","113.195384149","15309.3071","109834.32"
"2018-10-07","DP3","12","77629","9323","36.887381543","4400.194","36855.89"
"2018-10-08","DP1","65","2267806","910196","2317.1271532305","326974.5069","1741712.34"
"2018-10-08","DP3","17","544540","63499","219.427400624","29275.7627","227645.1"
"2018-10-08","EXT2","1","50079","804911","2397.74596599","306455.213","799595.31"
"2018-10-08","IP1","3","20102","89357","249.099032747","32722.9415","134380.52"
"2018-10-08","DP2","70","2131264","1009081","2962.896186395","369066.469","2656897.61"
"2018-10-08","IP2","2","6407","5279","18.262897375","2578.983","13660.09"
"2018-10-08","HP2","7","338835","46670","121.122842475","10922.671","59143.77"
"2018-10-08","HP1","3","59311","118405","379.200349725","33478.849","193019.91"
"2018-10-09","IP1","3","22422","159092","363.416576864","37689.965","283912.34"
"2018-10-09","HP2","7","332482","52058","177.13479899","18758.45","82605.91"
"2018-10-09","HP1","2","34924","32947","131.925658","12028.052","41115.35"
"2018-10-09","IP2","3","20709","195734","526.2020121585","64685.0409","185437.73"
"2018-10-09","DP3","18","607797","67297","278.8934592155","35130.4446","353819.7"
"2018-10-09","DP2","73","2328453","1221424","3499.5736739895","414740.5756","2815496.27"
"2018-10-09","DP1","63","1991074","1193800","3241.865175384","392015.0404","2725506.7800000003"
"2018-10-09","EXT2","1","51818","768172","2002.027542909","226837.3366","609237.68"
"2018-10-10","IP2","2","11545","76805","166.0250021435","17066.2576","43100.76"
