DATE,LOCUS,ORDER,PRICE
2018-07-01,NL,5400,9610.54
2018-07-01,NLECO,624,693.9399999999999
2018-07-02,ARCA,17978,24995.2
2018-07-02,ARWEB,653,2584.6
2018-07-02,KO,1122,11991.27
2018-07-02,NL,57194,103207.33
2018-07-02,NLECO,2951,4098.21
2018-07-02,PHSLD,19057,16134.29
2018-07-02,VFOLD,1511,3434.3
2018-07-02,VNART,3858,2736.11
2018-07-02,VSOLD,11725,28555.829999999998
2018-07-02,VWK,25154,11187.9
2018-07-03,ARCA,194647,244613.62
2018-07-03,KO,2018,34983.21
2018-07-03,NL,107769,184918.55
2018-07-03,NLECO,10857,9727.92
2018-07-03,PHSLD,4157,3482.49
2018-07-03,TL,8,882.77
2018-07-03,VFOLD,3387,7431.87
2018-07-03,VNART,5123,4710.47
2018-07-03,VSOLD,3043,9891.83
2018-07-03,VWK,18943,12053.6
2018-07-04,ARCA,102969,116981.84
2018-07-04,KO,1498,19504.11
2018-07-04,NL,62363,120972.86
2018-07-04,NLECO,4248,6230.2
2018-07-04,NWDSP,388,2419.7
2018-07-04,NWECO,9771,7368.3
2018-07-04,NWKL,597,84.63
2018-07-04,PHSLD,6949,6274.73
2018-07-04,TL,5,598.95
2018-07-04,VFOLD,2016,4687.11
2018-07-04,VNART,5587,6378.14
2018-07-04,VSOLD,3386,6916.15
2018-07-04,VWK,4685,2555.9900000000002
2018-07-05,ARCA,139176,153304.37
2018-07-05,ARWEB,4831,5360.94
2018-07-05,KO,2599,40888.3
2018-07-05,NL,76040,159007.4
2018-07-05,NLECO,3923,8910.74
2018-07-05,PHSLD,84,32.95
2018-07-05,TL,7,648.95
2018-07-05,VFOLD,1495,33136.19
2018-07-05,VNART,7825,15951.53
2018-07-05,VSOLD,1919,2652.93
2018-07-05,VWK,3357,1732.53
2018-07-06,ARCA,169770,153685.02
2018-07-06,KO,2173,43987.68
2018-07-06,NL,142234,519065.38
2018-07-06,NLECO,6212,12486.88
2018-07-06,NWDSP,194,792.2
2018-07-06,NWECO,3277,2429.63
2018-07-06,NWKL,74592,56601.85
2018-07-06,TL,7,658.0
2018-07-06,VFOLD,1435,35042.62
2018-07-06,VNART,5804,15207.26
2018-07-06,VSOLD,1780,2115.31
2018-07-06,VWK,3861,1698.1100000000001
2018-07-07,KO,4,59.95
2018-07-07,NL,14033,27810.22
2018-07-07,NLECO,872,1141.12
2018-07-07,NWKL,37986,28745.43
2018-07-08,KO,2,59.9
2018-07-08,NL,5533,8289.94
2018-07-08,NLECO,324,489.99
2018-07-09,ARCA,92267,94022.62
2018-07-09,ARWEB,201,1134.97
2018-07-09,KO,2375,32400.12
2018-07-09,NL,99992,188556.4
2018-07-09,NLECO,4949,7691.19
2018-07-09,PHSLD,106,185.94
2018-07-09,VFOLD,636,21542.6
2018-07-09,VNART,3234,7100.83
2018-07-09,VSOLD,2413,4952.03
2018-07-09,VWK,3219,1435.6200000000001
2018-07-10,ARCA,71570,106637.57
2018-07-10,ARWEB,1073,3665.25
2018-07-10,KO,1810,36512.01
2018-07-10,NL,107586,215587.49
2018-07-10,NLECO,3499,7584.04
2018-07-10,NWECO,264,99.36
2018-07-10,NWKL,652,112.36
2018-07-10,PHSLD,1538,1305.06
2018-07-10,TL,3,877.0
2018-07-10,VFOLD,446,25060.46
2018-07-10,VNART,1962,3345.52
2018-07-10,VSOLD,1208,251.91
2018-07-10,VWK,1904,928.77
2018-07-11,ARCA,102376,143552.37
2018-07-11,ARWEB,226,962.98
2018-07-11,KO,1611,22855.16
2018-07-11,NL,65640,150130.29
2018-07-11,NLECO,6418,8657.36
2018-07-11,NWECO,248,113.99000000000001
2018-07-11,NWKL,41436,30872.49
2018-07-11,VFOLD,384,7518.37
2018-07-11,VNART,1602,1360.5
2018-07-11,VSOLD,870,132.5
2018-07-11,VWK,194,120.44
2018-07-12,ARCA,95492,167114.79
2018-07-12,KO,3005,37998.99
2018-07-12,NL,134614,452706.06
2018-07-12,NLECO,3832,8968.35
2018-07-12,NWDSP,36,124.73
2018-07-12,NWECO,162,86.74
2018-07-12,NWKL,1220,2272.65
2018-07-12,PHSLD,165,89.42
2018-07-12,TL,29,372.87
2018-07-12,VFOLD,1363,11992.69
2018-07-12,VNART,2272,1219.45
2018-07-12,VSOLD,1178,1502.75
2018-07-12,VWK,1694,2145.7
2018-07-13,ARCA,78147,150808.29
2018-07-13,KO,2176,52075.0
2018-07-13,NL,97431,180721.79
2018-07-13,NLECO,4496,10634.0
