DATE,ORDER,PRICE
2018-07-01,6024,10304.480000000001
2018-07-02,141203,208925.04
2018-07-03,349952,512696.32999999996
2018-07-04,204462,300972.71
2018-07-05,241256,421626.83
2018-07-06,411339,843769.94
2018-07-07,52895,57756.72
2018-07-08,5859,8839.83
2018-07-09,209392,359022.32
2018-07-10,193515,401966.8
2018-07-11,221005,366276.45
2018-07-12,245062,686595.1900000001
2018-07-13,195793,441707.83
2018-07-14,14689,23904.63
2018-07-15,9253,18293.79
2018-07-16,161719,301217.52
2018-07-17,233096,431607.82999999996
2018-07-18,134951,273171.62
2018-07-19,309092,491834.12
2018-07-20,238127,408513.1
2018-07-21,12840,19463.68
2018-07-22,7564,12587.03
2018-07-23,156469,287529.4
2018-07-24,212366,358734.05
2018-07-25,209918,332110.65
2018-07-26,406840,896589.27
2018-07-27,245552,617375.4099999999
2018-07-28,14008,18974.350000000002
2018-07-29,7381,8760.44
2018-07-30,599404,1009578.69
2018-07-31,422420,811402.0599999999
2018-08-01,167707,278554.42
2018-08-02,270961,560130.37
2018-08-03,231549,471052.84
2018-08-04,112687,166888.07
2018-08-05,16111,12954.42
2018-08-06,180662,357947.0
2018-08-07,208658,449578.04000000004
2018-08-08,253242,536735.0800000001
2018-08-09,161065,377994.24
2018-08-10,361102,831352.2
2018-08-11,31675,82585.41
2018-08-12,5244,10135.39
2018-08-13,276582,561781.56
2018-08-14,328669,652231.76
2018-08-15,10756,32399.480000000003
2018-08-16,215912,465047.83
2018-08-17,227639,469274.02
2018-08-18,159733,367489.65
2018-08-19,11570,30755.79
2018-08-20,185810,428474.59
2018-08-21,312279,572694.89
2018-08-22,225835,419199.37
2018-08-23,258587,520316.27
2018-08-24,298672,579697.62
2018-08-25,119161,223811.13999999998
2018-08-26,13183,29974.2
2018-08-27,228919,390033.87
2018-08-28,391411,614781.22
2018-08-29,207549,383048.89
2018-08-30,225959,429351.70999999996
2018-08-31,241750,482939.19
2018-09-01,102263,216885.12
2018-09-02,14741,31885.58
2018-09-03,197510,467091.54
2018-09-04,221045,428657.57999999996
2018-09-05,241121,436263.58999999997
2018-09-06,305257,511126.91
2018-09-07,371218,559995.9400000001
2018-09-08,82044,396095.97
2018-09-09,14620,32818.65
2018-09-10,235256,445121.34
2018-09-11,268340,480818.57
2018-09-12,234138,347703.11
2018-09-13,114932,185452.56
2018-09-14,219730,302766.97000000003
2018-09-15,131753,199504.87
