DATE,LOCUS,WOANBL
2018-07-01,NL,35241
2018-07-02,NL,17837
2018-07-02,TL,7
2018-07-03,NL,30344
2018-07-04,NL,27013
2018-07-04,NWDSP,16
2018-07-04,NWECO,215
2018-07-05,NL,21802
2018-07-06,NL,668
2018-07-06,PHSLD,0
2018-07-06,TL,13
2018-07-08,NL,24445
2018-07-09,ARWEB,137
2018-07-09,NL,24533
2018-07-09,NWDSP,34
2018-07-09,NWECO,431
2018-07-09,NWKL,1142
2018-07-10,NL,22106
2018-07-11,NL,20528
2018-07-11,NWDSP,14
2018-07-11,NWECO,172
2018-07-11,NWKL,2306
2018-07-12,NL,27919
2018-07-12,TL,3
2018-07-13,NL,2
2018-07-13,TL,1
2018-07-15,NL,26827
2018-07-16,NL,21828
2018-07-16,NWKL,2725
2018-07-16,TL,4
2018-07-17,NL,26317
2018-07-17,NWECO,213
2018-07-18,NL,29974
2018-07-19,NL,15853
2018-07-19,TL,6
2018-07-20,EXT,1
2018-07-20,NL,11
2018-07-20,TL,2
2018-07-22,NL,24884
2018-07-23,NL,14328
2018-07-23,PHKER,80050
2018-07-24,NL,26235
2018-07-24,NWDSP,16
2018-07-24,NWKL,71
2018-07-24,PHKER,46872
2018-07-25,NL,39851
2018-07-25,PHKER,28491
2018-07-25,TL,4
2018-07-26,ARWEB,2
2018-07-26,NL,26121
2018-07-27,ARWEB,173
2018-07-27,NL,2
2018-07-27,TL,4
2018-07-29,NL,48306
2018-07-30,NL,62893
2018-07-30,NLECO,1
2018-07-30,NWKL,1444
2018-07-31,NL,38311
2018-07-31,NLECO,43
2018-07-31,NWDSP,19
2018-07-31,NWECO,1
2018-08-01,NL,25289
2018-08-01,NLECO,19
2018-08-01,NWDSP,69
2018-08-01,NWECO,425
2018-08-01,NWKL,10944
2018-08-01,TL,3
2018-08-02,NL,27143
2018-08-02,NLECO,19
2018-08-03,NL,0
2018-08-03,NLECO,1
2018-08-03,NWDSP,3
2018-08-05,NL,36255
2018-08-06,NL,40558
2018-08-06,NLECO,33
2018-08-06,NWDSP,9
2018-08-06,NWECO,635
2018-08-06,NWKL,6901
2018-08-06,TL,12
2018-08-07,NL,26678
2018-08-07,NLECO,64
2018-08-07,NWDSP,25
2018-08-07,NWECO,127
2018-08-07,NWKL,5672
2018-08-08,NL,38022
2018-08-08,NLECO,3
2018-08-08,NWDSP,1
2018-08-08,NWKL,3
2018-08-09,NL,22023
2018-08-09,NLECO,64
2018-08-09,NWDSP,3
2018-08-10,NL,381
2018-08-10,NLECO,8
2018-08-10,TL,12
2018-08-12,NL,28071
2018-08-13,NL,29809
2018-08-13,NLECO,57
2018-08-13,NWDSP,49
2018-08-13,TL,16
2018-08-14,NL,1
2018-08-14,NLECO,28
2018-08-15,NL,28992
2018-08-16,NL,21576
2018-08-16,NWDSP,123
2018-08-16,NWECO,1045
2018-08-16,TL,6
2018-08-17,NL,8
2018-08-17,NLECO,12
2018-08-17,NWECO,607
2018-08-17,NWKL,1011
2018-08-17,TL,8
2018-08-19,NL,32996
2018-08-20,ARWEB,115
2018-08-20,NL,23907
2018-08-20,NLECO,24
2018-08-20,NWKL,1
2018-08-21,ARWEB,1
2018-08-21,NL,23908
2018-08-21,NWECO,19
2018-08-21,NWKL,685
2018-08-22,NL,25480
2018-08-22,TL,1
2018-08-23,EXT,1
2018-08-23,NL,22417
2018-08-23,PHKER,227
2018-08-24,ARWEB,1
2018-08-24,EXT,0
2018-08-24,NL,388
2018-08-24,NLECO,13
2018-08-24,PHKER,372
2018-08-24,TL,3
2018-08-26,NL,26628
2018-08-27,ARWEB,4
2018-08-27,NL,17722
2018-08-27,NLECO,17
2018-08-27,NWKL,1292
2018-08-27,TL,2
2018-08-28,NL,30106
2018-08-28,PHKER,279
2018-08-28,TL,6
2018-08-29,ARWEB,1
2018-08-29,NL,23903
2018-08-29,NWKL,11998
2018-08-30,ARWEB,2
2018-08-30,NL,25333
2018-08-30,PHKER,198
2018-08-31,NL,107
2018-09-02,NL,29967
2018-09-03,ARWEB,1
2018-09-03,NL,24237
2018-09-03,NLECO,24
2018-09-03,NWDSP,34
2018-09-03,NWECO,421
2018-09-03,NWKL,17516
2018-09-03,PHKER,310
2018-09-04,NL,26210
2018-09-05,ARWEB,4
2018-09-05,NL,27975
2018-09-05,NWKL,2685
2018-09-05,TL,24
2018-09-06,NL,23819
2018-09-06,NLECO,115
2018-09-07,ARWEB,167
2018-09-07,NL,1187
2018-09-07,NWKL,1116
2018-09-07,PHKER,183
2018-09-07,TL,2
2018-09-09,NL,32459
2018-09-10,NL,25757
2018-09-10,NLECO,91
2018-09-10,NWDSP,7
2018-09-10,NWKL,478
2018-09-11,ARWEB,3
2018-09-11,NL,31981
2018-09-11,NWKL,2640
2018-09-11,PHKER,1047
2018-09-12,ARWEB,1
2018-09-12,NL,43704
2018-09-12,PHKER,581
2018-09-13,ARWEB,3
2018-09-13,EXT,1
2018-09-13,NL,32587
