DATE,WOANBL
2018-07-01,35241
2018-07-02,17844
2018-07-03,30344
2018-07-04,27244
2018-07-05,21802
2018-07-06,681
2018-07-08,24445
2018-07-09,26277
2018-07-10,22106
2018-07-11,23020
2018-07-12,27922
2018-07-13,3
2018-07-15,26827
2018-07-16,24557
2018-07-17,26530
2018-07-18,29974
2018-07-19,15859
2018-07-20,14
2018-07-22,24884
2018-07-23,94378
2018-07-24,73194
2018-07-25,68346
2018-07-26,26123
2018-07-27,179
2018-07-29,48306
2018-07-30,64338
2018-07-31,38374
2018-08-01,36749
2018-08-02,27162
2018-08-03,4
2018-08-05,36255
2018-08-06,48148
2018-08-07,32566
2018-08-08,38029
2018-08-09,22090
2018-08-10,401
2018-08-12,28071
2018-08-13,29931
2018-08-14,29
2018-08-15,28992
2018-08-16,22750
2018-08-17,1646
2018-08-19,32996
2018-08-20,24047
2018-08-21,24613
2018-08-22,25481
2018-08-23,22645
2018-08-24,777
2018-08-26,26628
2018-08-27,19037
2018-08-28,30391
2018-08-29,35902
2018-08-30,25533
2018-08-31,107
2018-09-02,29967
2018-09-03,42543
2018-09-04,26210
2018-09-05,30688
2018-09-06,23934
2018-09-07,2655
2018-09-09,32459
2018-09-10,26333
2018-09-11,35671
2018-09-12,44286
2018-09-13,37565
2018-09-14,12424
2018-09-16,36017
2018-09-17,25612
2018-09-18,26909
2018-09-19,19398
2018-09-20,8299
2018-09-21,18443
2018-09-23,22345
2018-09-24,20074
2018-09-25,24243
2018-09-26,43455
2018-09-27,31563
2018-09-28,865
2018-09-29,1
2018-09-30,36403
2018-10-01,36700
2018-10-02,30079
2018-10-03,32978
2018-10-04,29225
2018-10-05,10783
2018-10-07,36958
2018-10-08,40427
2018-10-09,53816
2018-10-10,60015
2018-10-11,38357
2018-10-12,1943
2018-10-13,4402
2018-10-14,74314
2018-10-15,49471
2018-10-16,65546
2018-10-17,36775
2018-10-18,28662
2018-10-19,70
2018-10-20,5629
2018-10-21,42405
2018-10-22,58802
2018-10-23,62626
2018-10-24,23073
2018-10-25,19043
2018-10-26,651
2018-10-27,13696
2018-10-28,32265
2018-10-29,35778
2018-10-30,2740
2018-10-31,43598
2018-11-01,30713
2018-11-02,221
2018-11-03,5860
2018-11-04,26288
2018-11-05,38483
2018-11-06,40222
2018-11-07,29977
2018-11-08,32043
2018-11-09,1590
2018-11-10,4591
2018-11-11,28347
2018-11-12,36064
2018-11-13,41510
2018-11-14,24131
2018-11-15,20484
2018-11-16,15874
2018-11-17,6226
2018-11-18,16312
2018-11-19,23061
2018-11-20,35964
2018-11-21,30840
2018-11-22,19433
2018-11-23,8177
2018-11-24,7616
2018-11-25,21484
2018-11-26,29028
2018-11-27,40532
2018-11-28,25375
2018-11-29,24564
2018-11-30,2689
2018-12-01,11845
2018-12-02,22229
2018-12-03,24907
2018-12-04,32126
2018-12-05,23923
2018-12-06,670
2018-12-07,964
2018-12-08,45527
2018-12-09,30855
2018-12-10,36085
2018-12-11,39539
2018-12-12,30042
2018-12-13,6
2018-12-14,4483
2018-12-15,29876
2018-12-16,25201
2018-12-17,42778
2018-12-18,20070
2018-12-19,20369
2018-12-20,41
2018-12-21,18
2018-12-22,25831
2018-12-23,454
2018-12-24,42560
2018-12-25,20409
2018-12-26,25373
2018-12-27,174
2018-12-28,42
2018-12-29,20741
2018-12-30,446
2018-12-31,15576
2019-01-01,19353
2019-01-02,15469
2019-01-03,1028
2019-01-04,2047
2019-01-05,19893
2019-01-06,12802
2019-01-07,33694
2019-01-08,33554
2019-01-09,30813
2019-01-10,27270
2019-01-11,2529
2019-01-12,5019
2019-01-13,16812
2019-01-14,21395
2019-01-15,25731
2019-01-16,19737
2019-01-17,20482
2019-01-18,45
2019-01-19,3313
2019-01-20,14829
2019-01-21,19208
2019-01-22,19934
2019-01-23,23361
2019-01-24,22754
2019-01-25,130
2019-01-26,4168
2019-01-27,15786
2019-01-28,21630
2019-01-29,22835
2019-01-30,20332
2019-01-31,24417
2019-02-01,828
2019-02-02,6972
2019-02-03,27140
2019-02-04,36197
2019-02-05,39316
2019-02-06,33194
2019-02-07,29862
2019-02-08,212
2019-02-09,5502
2019-02-10,24432
2019-02-11,21576
2019-02-12,24991
2019-02-13,20060
2019-02-14,28576
2019-02-15,1309
2019-02-16,4715
2019-02-17,24983
2019-02-18,27882
2019-02-19,33203
2019-02-20,27960
2019-02-21,28047
2019-02-22,19
2019-02-23,4488
2019-02-24,20425
2019-02-25,22568
2019-02-26,25692
2019-02-27,20397
2019-02-28,25211
2019-03-01,1128
2019-03-02,4052
2019-03-03,22116
2019-03-04,29987
2019-03-05,36265
2019-03-06,28304
2019-03-07,30674
2019-03-08,3508
2019-03-09,4657
2019-03-10,22324
2019-03-11,24641
2019-03-12,36342
2019-03-13,28334
2019-03-14,31162
2019-03-15,471
2019-03-16,4140
2019-03-17,25612
2019-03-18,26428
2019-03-19,35216
2019-03-20,27392
2019-03-21,30433
2019-03-22,39
2019-03-23,4247
2019-03-24,23507
2019-03-25,28267
2019-03-26,31057
2019-03-27,24209
2019-03-28,14637
2019-03-29,626
2019-03-30,11387
2019-03-31,20428
2019-04-01,27018
2019-04-02,27018
2019-04-03,25262
2019-04-04,2038
2019-04-05,325
2019-04-06,23863
2019-04-07,22320
2019-04-08,34827
2019-04-09,35427
2019-04-10,19499
2019-04-11,159
2019-04-12,1288
2019-04-13,27602
2019-04-14,26879
2019-04-15,35327
2019-04-16,29118
2019-04-17,18786
2019-04-18,200
2019-04-19,19
2019-04-20,286
2019-04-21,18804
2019-04-22,25217
2019-04-23,25341
2019-04-24,27186
2019-04-25,88
2019-04-26,2980
2019-04-27,14777
2019-04-28,18761
2019-04-29,3495
2019-04-30,24737
2019-05-01,18756
2019-05-02,14007
2019-05-03,57
2019-05-04,13507
2019-05-05,16390
2019-05-06,25833
2019-05-07,33680
2019-05-08,36634
2019-05-09,16551
2019-05-10,24
2019-05-11,5000
2019-05-12,24391
2019-05-13,23015
2019-05-14,30760
2019-05-15,30520
2019-05-16,17572
2019-05-17,2546
2019-05-18,4168
2019-05-19,32384
2019-05-20,26534
2019-05-21,16320
2019-05-22,19658
2019-05-23,757
2019-05-24,4409
2019-05-25,17178
2019-05-26,18701
2019-05-27,32019
2019-05-28,4238
2019-05-29,29858
2019-05-30,3828
2019-05-31,1490
2019-06-01,17770
2019-06-02,21129
2019-06-03,23842
2019-06-04,34848
2019-06-05,11950
2019-06-06,3328
2019-06-07,17
2019-06-08,433
2019-06-09,16468
2019-06-10,19562
2019-06-11,32022
2019-06-12,21674
2019-06-13,23847
2019-06-14,512
2019-06-15,4109
2019-06-16,15519
2019-06-17,17365
2019-06-18,25108
2019-06-19,22727
2019-06-20,22010
2019-06-21,429
2019-06-22,3629
2019-06-23,18802
2019-06-24,22099
2019-06-25,25275
2019-06-26,17216
2019-06-27,19884
2019-06-28,5436
2019-06-29,3800
2019-06-30,15146
2019-07-01,23725
2019-07-02,26880
2019-07-03,19018
2019-07-04,23332
2019-07-05,3257
